book,ch start,vs start,ch end,vs end,genre
Genesis,1,1,4,16,prose
Genesis,4,17,4,23,list
Genesis,4,24,4,26,prose
Genesis,5,1,5,32,list
Genesis,6,1,9,29,prose
Genesis,10,1,10,32,list
Genesis,11,1,24,67,prose
Genesis,25,1,25,5,list
Genesis,25,6,25,11,prose
Genesis,25,12,25,16,list
Genesis,25,17,35,29,prose
Genesis,36,1,36,43,list
Genesis,37,1,46,7,prose
Genesis,46,8,46,27,list
Genesis,46,28,49,1,prose
Genesis,49,2,49,27,poetry
Genesis,49,28,50,26,prose
Exodus,1,1,1,5,list
Exodus,1,6,5,23,prose
Exodus,6,1,6,12,prose
Exodus,6,13,6,26,list
Exodus,6,27,15,1,prose
Exodus,15,2,15,18,poetry
Exodus,15,19,19,25,prose
Exodus,20,1,23,33,instruction
Exodus,24,1,24,18,prose
Exodus,25,1,31,17,instruction
Exodus,31,18,34,35,prose
Exodus,35,1,35,29,instruction
Exodus,35,30,35,35,prose
Exodus,36,1,40,34,instruction
Exodus,40,35,40,38,prose
Leviticus,1,1,5,19,instruction
Leviticus,5,20,5,26,prose
Leviticus,6,1,7,38,instruction
Leviticus,8,1,10,7,prose
Leviticus,10,8,10,15,instruction
Leviticus,10,16,10,20,prose
Leviticus,11,1,27,34,instruction
Numbers,1,1,1,46,list
Numbers,1,47,2,2,prose
Numbers,2,3,2,32,list
Numbers,2,33,2,34,prose
Numbers,3,1,3,43,list
Numbers,3,44,3,51,prose
Numbers,4,1,4,27,instruction
Numbers,4,28,4,49,list
Numbers,5,1,5,31,instruction
Numbers,6,1,6,21,instruction
Numbers,6,22,6,23,prose
Numbers,6,24,6,26,poetry
Numbers,6,27,6,27,prose
Numbers,7,1,8,26,instruction
Numbers,9,1,9,9,prose
Numbers,9,10,9,14,instruction
Numbers,9,15,9,23,prose
Numbers,10,1,10,13,prose
Numbers,10,14,10,27,list
Numbers,10,28,13,3,prose
Numbers,13,4,13,16,list
Numbers,13,17,14,45,prose
Numbers,15,1,15,41,instruction
Numbers,16,1,17,28,prose
Numbers,18,1,19,22,instruction
Numbers,20,1,21,27,prose
Numbers,21,28,21,30,poetry
Numbers,21,31,23,7,prose
Numbers,23,8,23,10,poetry
Numbers,23,11,23,18,prose
Numbers,23,19,23,24,poetry
Numbers,23,25,24,3,prose
Numbers,24,4,24,9,poetry
Numbers,24,10,24,15,prose
Numbers,24,16,24,19,poetry
Numbers,24,20,25,19,prose
Numbers,26,1,26,61,list
Numbers,26,62,27,5,prose
Numbers,27,6,27,11,instruction
Numbers,27,12,27,23,prose
Numbers,28,1,30,17,instruction
Numbers,31,1,32,42,prose
Numbers,33,1,33,49,list
Numbers,33,50,33,56,prose
Numbers,34,1,34,29,list
Numbers,35,1,36,13,instruction
Deuteronomy,1,1,5,5,prose
Deuteronomy,5,6,5,21,instruction
Deuteronomy,5,22,11,32,prose
Deuteronomy,12,1,25,19,instruction
Deuteronomy,26,1,31,30,prose
Deuteronomy,32,1,32,43,poetry
Deuteronomy,32,44,33,2,prose
Deuteronomy,33,3,33,29,poetry
Deuteronomy,34,1,34,12,prose
Joshua,1,1,12,7,prose
